Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (in)
syn_event_193_H-L-L_2006-01-14_08-00-00_SM3_BF1_SLR4,SUCCESS,12.295277777777777,52,,67772.,1.126,2.90,May 27 02:07,May 27 14:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_193_L-H-L_1993-11-26_01-00-00_SM3_BF1_SLR4,SUCCESS,10.453888888888889,44,,51436.,0.8165,0.97,May 28 01:11,May 28 11:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_193_L-L-H_2006-12-23_11-00-00_SM3_BF1_SLR4,SUCCESS,8.641666666666666,36,,33722.,0.5778,1.45,May 29 04:00,May 29 12:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_194_H-H-L_1987-01-04_23-00-00_SM3_BF1_SLR4,SUCCESS,10.689444444444444,44,,63911.,0.9996,1.91,May 27 02:06,May 27 12:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_194_H-L-L_2013-02-10_21-00-00_SM3_BF1_SLR4,SUCCESS,7.775833333333333,32,,37425.,0.6559,1.48,May 27 02:06,May 27 09:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_194_L-H-L_1993-11-26_01-00-00_SM3_BF1_SLR4,SUCCESS,9.293611111111112,40,,39152.,0.6237,1.41,May 28 01:11,May 28 10:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_194_L-L-H_1983-03-07_09-00-00_SM3_BF1_SLR4,SUCCESS,11.9425,48,,57654.,0.8866,2.85,May 29 04:00,May 29 15:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_195_H-H-L_2021-03-20_06-00-00_SM3_BF1_SLR4,SUCCESS,13.650833333333333,56,,45365.,0.7443,3.84,May 27 02:06,May 27 15:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_195_H-L-L_2022-01-29_05-00-00_SM3_BF1_SLR4,SUCCESS,7.551111111111111,32,,18595.,0.2880,0.45,May 27 02:06,May 27 09:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_195_L-H-L_1986-01-08_16-00-00_SM3_BF1_SLR4,SUCCESS,10.894444444444444,44,,26711.,0.4491,2.90,May 28 01:10,May 28 12:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_195_L-L-H_2003-03-09_20-00-00_SM3_BF1_SLR4,SUCCESS,11.444444444444445,48,,49546.,0.8670,4.31,May 29 04:01,May 29 15:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_196_H-H-L_1987-01-04_23-00-00_SM3_BF1_SLR4,SUCCESS,10.127222222222223,44,,38244.,0.5750,0.50,May 27 02:06,May 27 12:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_196_H-L-L_2018-01-01_18-00-00_SM3_BF1_SLR4,SUCCESS,9.08,40,,44115.,0.6921,0.83,May 27 02:06,May 27 11:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_196_L-H-L_2011-12-12_06-00-00_SM3_BF1_SLR4,SUCCESS,9.199166666666667,40,,30920.,0.4919,2.17,May 28 01:10,May 28 10:22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_196_L-L-H_2024-09-05_20-00-00_SM3_BF1_SLR4,SUCCESS,10.524166666666668,44,,16950.,0.2686,3.04,May 29 04:00,May 29 14:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_197_H-H-L_2023-05-24_21-00-00_SM3_BF1_SLR4,SUCCESS,10.011111111111111,44,,38588.,0.5733,1.92,May 27 02:06,May 27 12:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_197_H-L-L_2004-11-09_14-00-00_SM3_BF1_SLR4,SUCCESS,10.823611111111111,44,,64597.,1.090,2.19,May 27 02:06,May 27 12:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_197_L-H-L_2018-11-23_04-00-00_SM3_BF1_SLR4,SUCCESS,10.57861111111111,44,,45399.,0.7175,2.61,May 28 01:11,May 28 11:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_197_L-L-H_1993-10-30_16-00-00_SM3_BF1_SLR4,SUCCESS,9.157777777777778,40,,23268.,0.3725,2.21,May 29 04:01,May 29 13:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_198_H-H-L_2024-09-04_01-00-00_SM3_BF1_SLR4,SUCCESS,12.545,52,,34370.,0.5500,3.00,May 27 02:06,May 27 14:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_198_H-L-L_2005-01-23_11-00-00_SM3_BF1_SLR4,SUCCESS,7.974722222222223,32,,19917.,0.3480,0.89,May 27 02:06,May 27 10:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_198_L-H-L_2011-11-06_01-00-00_SM3_BF1_SLR4,SUCCESS,8.787777777777778,36,,33186.,0.5372,2.75,May 28 01:10,May 28 09:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_198_L-L-H_2019-05-05_20-00-00_SM3_BF1_SLR4,SUCCESS,7.836388888888888,32,,48690.,0.8173,0.50,May 29 04:01,May 29 11:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_199_H-H-L_2006-02-26_15-00-00_SM3_BF1_SLR4,SUCCESS,10.499722222222221,44,,38913.,0.6919,1.14,May 27 02:06,May 27 12:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_199_H-L-L_2023-02-04_15-00-00_SM3_BF1_SLR4,SUCCESS,6.895833333333333,28,,25941.,0.4629,45.45,May 27 02:07,May 27 09:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_199_L-H-L_2008-09-24_00-00-00_SM3_BF1_SLR4,SUCCESS,6.989166666666667,28,,30195.,0.4991,0.80,May 28 01:10,May 28 08:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_199_L-L-H_2024-09-05_20-00-00_SM3_BF1_SLR4,SUCCESS,9.864166666666666,40,,16467.,0.2495,2.60,May 29 04:00,May 29 13:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_19_H-H-H_1997-12-13_04-00-00_SM3_BF1_SLR4,SUCCESS,12.362222222222222,52,,87008.,1.307,2.51,May 27 01:39,May 27 14:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_19_H-H-L_2017-11-11_20-00-00_SM3_BF1_SLR4,SUCCESS,11.639999999999999,48,,46561.,0.7539,1.15,May 27 02:06,May 27 13:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_19_H-L-H_2005-07-10_09-00-00_SM3_BF1_SLR4,SUCCESS,11.937222222222223,48,,35803.,0.5519,1.25,May 27 02:06,May 27 14:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_19_H-L-L_2001-01-23_12-00-00_SM3_BF1_SLR4,SUCCESS,8.244166666666667,36,,19681.,0.3342,0.72,May 27 02:07,May 27 10:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_19_L-H-H_2015-01-12_23-00-00_SM3_BF1_SLR4,SUCCESS,8.899722222222222,36,,19806.,0.3147,1.46,May 28 01:11,May 28 10:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_19_L-H-L_2011-12-12_06-00-00_SM3_BF1_SLR4,SUCCESS,7.130833333333333,32,,16262.,0.2755,0.22,May 28 01:10,May 28 08:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_19_L-L-H_1991-09-29_20-00-00_SM3_BF1_SLR4,SUCCESS,12.666666666666666,52,,38777.,0.6847,2.60,May 29 04:01,May 29 16:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1_H-H-H_2005-01-14_16-00-00_SM3_BF1_SLR4,SUCCESS,12.923055555555555,52,,82361.,1.290,0.51,May 27 01:39,May 27 14:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1_H-H-L_2018-03-26_12-00-00_SM3_BF1_SLR4,SUCCESS,8.2225,36,,17859.,0.2908,45.44,May 27 02:06,May 27 10:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1_H-L-H_2002-09-25_01-00-00_SM3_BF1_SLR4,SUCCESS,12.752222222222223,52,,40016.,0.7065,2.46,May 27 02:07,May 27 14:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1_H-L-L_1997-03-31_15-00-00_SM3_BF1_SLR4,SUCCESS,9.625555555555556,40,,43570.,0.7495,0.82,May 27 02:06,May 27 11:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1_L-H-H_2015-01-12_23-00-00_SM3_BF1_SLR4,SUCCESS,8.84888888888889,36,,26093.,0.4092,0.28,May 28 01:11,May 28 10:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1_L-H-L_1998-12-26_10-00-00_SM3_BF1_SLR4,SUCCESS,8.244166666666667,36,,25704.,0.3848,0.75,May 28 01:10,May 28 09:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1_L-L-H_2011-02-07_22-00-00_SM3_BF1_SLR4,SUCCESS,9.631111111111112,40,,20601.,0.3458,0.79,May 29 04:01,May 29 13:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_200_H-H-L_1999-01-31_04-00-00_SM3_BF1_SLR4,SUCCESS,11.713055555555554,48,,58841.,0.9887,3.12,May 27 02:06,May 27 13:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_200_H-L-L_2023-02-04_15-00-00_SM3_BF1_SLR4,SUCCESS,9.151111111111112,40,,67715.,1.172,0.16,May 27 02:06,May 27 11:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_200_L-H-L_1991-10-29_10-00-00_SM3_BF1_SLR4,SUCCESS,9.599722222222223,40,,65278.,0.9777,2.56,May 28 01:10,May 28 10:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_200_L-L-H_2024-07-09_19-00-00_SM3_BF1_SLR4,SUCCESS,9.180833333333332,40,,54395.,0.9016,2.20,May 29 04:01,May 29 13:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_201_H-H-L_2007-10-29_08-00-00_SM3_BF1_SLR4,SUCCESS,10.224444444444444,44,,80024.,1.355,4.31,May 27 02:06,May 27 12:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_201_H-L-L_1981-02-13_18-00-00_SM3_BF1_SLR4,SUCCESS,9.754444444444445,40,,38846.,0.6227,2.87,May 27 02:07,May 27 11:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_201_L-H-L_1985-10-27_03-00-00_SM3_BF1_SLR4,SUCCESS,8.74611111111111,36,,54095.,0.8144,1.65,May 28 01:10,May 28 09:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_201_L-L-H_2019-06-19_23-00-00_SM3_BF1_SLR4,SUCCESS,10.794722222222221,44,,30033.,0.5264,2.67,May 29 04:01,May 29 14:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_202_H-H-L_2019-02-09_19-00-00_SM3_BF1_SLR4,SUCCESS,9.315555555555557,40,,26886.,0.4376,1.08,May 27 02:06,May 27 11:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_202_H-L-L_2019-12-20_16-00-00_SM3_BF1_SLR4,SUCCESS,9.336111111111112,40,,24181.,0.4365,1.04,May 27 02:07,May 27 11:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_202_L-H-L_2020-01-30_19-00-00_SM3_BF1_SLR4,SUCCESS,7.788055555555555,32,,17376.,0.2927,1.18,May 28 01:11,May 28 08:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_202_L-L-H_1991-09-29_20-00-00_SM3_BF1_SLR4,SUCCESS,8.773611111111112,36,,50912.,0.9050,1.06,May 29 04:01,May 29 12:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_203_H-H-L_1991-11-09_07-00-00_SM3_BF1_SLR4,SUCCESS,13.8025,56,,23886.,0.3621,3.08,May 27 02:06,May 27 15:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_203_H-L-L_1999-02-28_23-00-00_SM3_BF1_SLR4,SUCCESS,7.726111111111111,32,,25453.,0.4426,0.26,May 27 02:07,May 27 09:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_203_L-H-L_1992-04-14_02-00-00_SM3_BF1_SLR4,SUCCESS,11.06388888888889,48,,37343.,0.6563,3.07,May 28 01:10,May 28 12:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_203_L-L-H_1983-12-12_09-00-00_SM3_BF1_SLR4,SUCCESS,10.299166666666666,44,,40604.,0.7140,1.95,May 29 04:00,May 29 14:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_204_H-H-L_1999-01-31_04-00-00_SM3_BF1_SLR4,SUCCESS,10.122222222222224,44,,45472.,0.7232,2.75,May 27 02:06,May 27 12:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_204_H-L-L_2023-02-04_15-00-00_SM3_BF1_SLR4,SUCCESS,7.308888888888888,32,,19052.,0.2941,0.16,May 27 02:06,May 27 09:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_204_L-H-L_1985-10-27_03-00-00_SM3_BF1_SLR4,SUCCESS,7.760555555555555,32,,18121.,0.3352,0.42,May 28 01:11,May 28 08:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_204_L-L-H_1987-03-29_19-00-00_SM3_BF1_SLR4,SUCCESS,9.630555555555556,40,,30202.,0.5299,1.20,May 29 04:01,May 29 13:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_205_H-H-L_1987-01-04_23-00-00_SM3_BF1_SLR4,SUCCESS,7.881388888888889,32,,33067.,0.5663,0.80,May 27 02:06,May 27 09:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_205_H-L-L_2013-11-13_11-00-00_SM3_BF1_SLR4,SUCCESS,8.546388888888888,36,,20678.,0.3145,1.06,May 27 02:07,May 27 10:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_205_L-H-L_2019-04-02_02-00-00_SM3_BF1_SLR4,SUCCESS,9.787222222222223,40,,19202.,0.3337,2.19,May 28 01:10,May 28 10:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_205_L-L-H_2001-03-30_07-00-00_SM3_BF1_SLR4,SUCCESS,14.946388888888889,60,,67340.,1.128,1.83,May 29 04:01,May 29 18:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_206_H-H-L_1999-01-31_04-00-00_SM3_BF1_SLR4,SUCCESS,9.241388888888888,40,,52406.,0.8380,3.16,May 27 02:06,May 27 11:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_206_H-L-L_2018-01-01_18-00-00_SM3_BF1_SLR4,SUCCESS,8.311944444444444,36,,36597.,0.5789,0.16,May 27 02:08,May 27 10:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_206_L-H-L_1985-10-29_17-00-00_SM3_BF1_SLR4,SUCCESS,7.876666666666667,32,,40911.,0.7411,1.06,May 28 01:11,May 28 09:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_206_L-L-H_1996-03-31_01-00-00_SM3_BF1_SLR4,SUCCESS,7.841944444444444,32,,24174.,0.3976,1.28,May 29 04:01,May 29 11:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_207_H-H-L_2007-10-29_08-00-00_SM3_BF1_SLR4,SUCCESS,9.876944444444446,40,,86045.,1.305,0.64,May 27 02:06,May 27 11:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_207_H-L-L_2018-01-01_18-00-00_SM3_BF1_SLR4,SUCCESS,6.821111111111111,28,,43976.,0.7745,0.16,May 27 02:07,May 27 08:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_207_L-H-L_2015-10-05_11-00-00_SM3_BF1_SLR4,SUCCESS,7.0,28,,16452.,0.2542,0.71,May 28 01:10,May 28 08:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_207_L-L-H_2012-08-21_20-00-00_SM3_BF1_SLR4,SUCCESS,8.183055555555555,36,,23378.,0.3953,1.13,May 29 04:01,May 29 12:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_208_H-H-L_2004-09-20_07-00-00_SM3_BF1_SLR4,SUCCESS,9.507222222222222,40,,87576.,1.453,1.13,May 27 02:06,May 27 11:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_208_H-L-L_2006-01-14_08-00-00_SM3_BF1_SLR4,SUCCESS,11.415000000000001,48,,94167.,1.741,2.58,May 27 02:08,May 27 13:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_208_L-H-L_1994-11-12_12-00-00_SM3_BF1_SLR4,SUCCESS,8.836388888888889,36,,33096.,0.5575,0.19,May 28 01:11,May 28 10:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_208_L-L-H_2019-06-09_21-00-00_SM3_BF1_SLR4,SUCCESS,7.536111111111111,32,,20852.,0.3602,0.60,May 29 04:01,May 29 11:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_209_H-H-L_2024-09-04_01-00-00_SM3_BF1_SLR4,SUCCESS,8.325277777777778,36,,35325.,0.6015,0.33,May 27 02:06,May 27 10:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_209_H-L-L_1996-01-08_00-00-00_SM3_BF1_SLR4,SUCCESS,14.020555555555557,60,,123507.,2.245,2.37,May 27 02:09,May 27 16:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_209_L-H-L_1993-11-26_01-00-00_SM3_BF1_SLR4,SUCCESS,8.551111111111112,36,,42226.,0.6907,0.93,May 28 01:10,May 28 09:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_209_L-L-H_2019-10-19_12-00-00_SM3_BF1_SLR4,SUCCESS,13.695,56,,25474.,0.4168,3.00,May 29 04:01,May 29 17:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_20_H-H-H_2007-09-19_00-00-00_SM3_BF1_SLR4,SUCCESS,10.87138888888889,44,,34103.,0.6084,2.92,May 27 01:39,May 27 12:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_20_H-H-L_2017-11-11_20-00-00_SM3_BF1_SLR4,SUCCESS,10.538055555555555,44,,40390.,0.7397,0.76,May 27 02:06,May 27 12:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_20_H-L-H_2002-09-25_01-00-00_SM3_BF1_SLR4,SUCCESS,9.280833333333334,40,,31115.,0.5272,1.00,May 27 02:08,May 27 11:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_20_H-L-L_2020-08-10_02-00-00_SM3_BF1_SLR4,SUCCESS,9.472222222222223,40,,53295.,0.8889,0.50,May 27 02:07,May 27 11:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_20_L-H-H_2017-06-07_13-00-00_SM3_BF1_SLR4,SUCCESS,8.456666666666665,36,,20683.,0.3409,0.63,May 28 01:11,May 28 09:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_20_L-H-L_2015-10-02_08-00-00_SM3_BF1_SLR4,SUCCESS,9.5475,40,,35933.,0.6748,2.65,May 28 01:10,May 28 10:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_20_L-L-H_2019-06-09_21-00-00_SM3_BF1_SLR4,SUCCESS,8.586111111111112,36,,66376.,1.103,1.61,May 29 04:01,May 29 12:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_210_H-H-L_2004-09-20_07-00-00_SM3_BF1_SLR4,SUCCESS,8.42611111111111,36,,75218.,1.162,0.46,May 27 02:06,May 27 10:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_210_H-L-L_2020-08-10_02-00-00_SM3_BF1_SLR4,SUCCESS,8.266111111111112,36,,25954.,0.4256,0.40,May 27 02:06,May 27 10:22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_210_L-H-L_1997-06-05_05-00-00_SM3_BF1_SLR4,SUCCESS,9.389166666666666,40,,61837.,1.031,1.55,May 28 01:10,May 28 10:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_210_L-L-H_2023-06-16_01-00-00_SM3_BF1_SLR4,SUCCESS,13.635833333333332,56,,19849.,0.3074,3.06,May 29 04:00,May 29 17:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_211_H-H-L_2021-03-20_06-00-00_SM3_BF1_SLR4,SUCCESS,13.026944444444446,56,,31535.,0.4959,5.83,May 27 02:06,May 27 15:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_211_H-L-L_2024-05-14_03-00-00_SM3_BF1_SLR4,SUCCESS,9.645277777777777,40,,20477.,0.3484,2.23,May 27 02:07,May 27 11:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_211_L-H-L_1993-10-24_00-00-00_SM3_BF1_SLR4,SUCCESS,7.970833333333333,32,,42501.,0.7299,0.44,May 28 01:09,May 28 09:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_211_L-L-H_2019-10-07_22-00-00_SM3_BF1_SLR4,SUCCESS,9.02638888888889,40,,29338.,0.5422,1.25,May 29 04:00,May 29 13:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_212_H-H-L_2023-06-04_15-00-00_SM3_BF1_SLR4,SUCCESS,7.446944444444445,32,,37075.,0.6642,0.87,May 27 02:06,May 27 09:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_212_H-L-L_1984-03-28_21-00-00_SM3_BF1_SLR4,SUCCESS,7.556388888888889,32,,59752.,0.8988,1.55,May 27 02:06,May 27 09:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_212_L-H-L_1990-03-08_01-00-00_SM3_BF1_SLR4,SUCCESS,9.397777777777778,40,,21819.,0.3646,2.17,May 28 01:09,May 28 10:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_212_L-L-H_2010-01-22_02-00-00_SM3_BF1_SLR4,SUCCESS,7.087777777777777,32,,30011.,0.4676,0.43,May 29 04:00,May 29 11:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_213_H-H-L_2005-01-28_05-00-00_SM3_BF1_SLR4,SUCCESS,10.643333333333333,44,,58642.,0.9522,1.20,May 27 02:06,May 27 12:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_213_H-L-L_2023-02-04_15-00-00_SM3_BF1_SLR4,SUCCESS,10.344444444444445,44,,57806.,0.9961,0.73,May 27 02:07,May 27 12:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_213_L-H-L_1993-03-19_02-00-00_SM3_BF1_SLR4,SUCCESS,6.957777777777778,28,,76418.,1.199,0.83,May 28 01:11,May 28 08:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_213_L-L-H_1987-03-29_19-00-00_SM3_BF1_SLR4,SUCCESS,10.023055555555556,44,,26969.,0.4660,1.13,May 29 04:00,May 29 14:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_214_H-H-L_1989-03-10_05-00-00_SM3_BF1_SLR4,SUCCESS,6.671666666666667,28,,23236.,0.3688,0.81,May 27 02:06,May 27 08:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_214_L-H-L_2023-06-01_15-00-00_SM3_BF1_SLR4,SUCCESS,10.309166666666668,44,,31992.,0.5183,3.10,May 28 01:11,May 28 11:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_214_L-L-H_1996-03-31_01-00-00_SM3_BF1_SLR4,SUCCESS,7.699722222222222,32,,24178.,0.3939,0.43,May 29 04:00,May 29 11:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_215_H-H-L_2023-05-24_21-00-00_SM3_BF1_SLR4,SUCCESS,12.893611111111111,52,,39934.,0.6376,2.14,May 27 02:07,May 27 15:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_215_H-L-L_2007-01-29_06-00-00_SM3_BF1_SLR4,SUCCESS,9.712222222222222,40,,27013.,0.5042,1.01,May 27 02:06,May 27 11:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_215_L-H-L_1992-01-01_15-00-00_SM3_BF1_SLR4,SUCCESS,8.70611111111111,36,,19860.,0.3402,1.08,May 28 01:10,May 28 09:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_215_L-L-H_2024-02-18_16-00-00_SM3_BF1_SLR4,SUCCESS,8.428333333333333,36,,48984.,0.7992,0.44,May 29 04:00,May 29 12:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_216_H-H-L_1999-01-31_04-00-00_SM3_BF1_SLR4,SUCCESS,12.052222222222223,52,,43710.,0.7394,3.09,May 27 02:07,May 27 14:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_216_H-L-L_2003-12-17_15-00-00_SM3_BF1_SLR4,SUCCESS,8.241944444444444,36,,25892.,0.4093,1.19,May 27 02:06,May 27 10:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
